['bmh', 'classic', 'dark_background', 'fast', 'fivethirtyeight', 'ggplot', 'grayscale', 'seaborn-bright', 'seaborn-colorblind', 'seaborn-dark-palette', 'seaborn-dark', 'seaborn-darkgrid', 'seaborn-deep', 'seaborn-muted', 'seaborn-notebook', 'seaborn-paper', 'seaborn-pastel', 'seaborn-poster', 'seaborn-talk', 'seaborn-ticks', 'seaborn-white', 'seaborn-whitegrid', 'seaborn', 'Solarize_Light2', '_classic_test']
         828034 function calls (814815 primitive calls) in 2.234 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:108(todate)
        1    0.000    0.000    0.000    0.000 __init__.py:1083(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1101(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:1101(winfo_toplevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1134(maxdict)
        7    0.000    0.000    0.000    0.000 __init__.py:1140(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1143(Manager)
       45    0.000    0.000    0.000    0.000 __init__.py:1145(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:1148(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1154(Stack)
        2    0.000    0.000    0.000    0.000 __init__.py:1161(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1165(__call__)
        1    0.000    0.000    0.262    0.262 __init__.py:1169(update)
      2/1    0.000    0.000    0.069    0.069 __init__.py:1172(update_idletasks)
       32    0.000    0.000    0.000    0.000 __init__.py:1189(_bind)
       16    0.000    0.000    0.000    0.000 __init__.py:1191(push)
       32    0.000    0.000    0.000    0.000 __init__.py:1206(bind)
       14    0.000    0.000    0.000    0.000 __init__.py:1211(clear)
        5    0.000    0.000    0.000    0.000 __init__.py:1216(bubble)
        1    0.000    0.000    0.000    0.000 __init__.py:123(tofloat)
        1    0.000    0.000    0.000    0.000 __init__.py:1251(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1266(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1281(_getints)
       26    0.000    0.000    0.000    0.000 __init__.py:1309(_options)
        4    0.000    0.000    0.000    0.000 __init__.py:1314(get_backend)
      647    0.000    0.000    0.001    0.000 __init__.py:1328(is_interactive)
      237    0.001    0.000    0.002    0.000 __init__.py:1334(nametowidget)
       41    0.000    0.000    0.000    0.000 __init__.py:1351(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:136(toint)
